date,number of accidents,Temperature,windspeed
2014-10-25,786,286.7191666666667,3.8333333333333335
2014-10-26,660,287.4216666666667,5.875
2014-10-27,934,285.71041666666673,4.291666666666667
2014-10-28,860,286.030006281625,2.0833333333333335
2014-10-29,876,288.23625,2.875
2014-10-30,974,283.077387442375,3.25
2014-10-31,1030,280.29749999999996,3.3333333333333335
2014-11-01,921,281.48999999999995,6.291666666666667
2014-11-02,696,279.77125294975,9.583333333333334
2014-11-03,978,281.01909222591667,5.791666666666667
2014-11-04,946,286.63721864945836,3.3333333333333335
2014-11-05,903,287.343748254,3.9583333333333335
2014-11-06,1069,282.75589348245836,1.9583333333333333
2014-11-07,1096,282.1001382028333,4.708333333333333
2014-11-08,865,277.41902237333335,3.3333333333333335
2014-11-09,611,282.01124402979167,3.5
2014-11-10,1006,280.76130452858337,1.7083333333333333
2014-11-11,894,283.2671853066667,1.625
2014-11-12,941,287.05520460095835,2.0416666666666665
2014-11-13,1147,279.1934508600834,3.2083333333333335
2014-11-14,1214,276.0796600871667,4.208333333333333
2014-11-15,852,273.107803519375,2.9166666666666665
2014-11-16,604,273.7228835541667,1.875
2014-11-17,1220,278.3660892744584,2.0833333333333335
2014-11-18,1062,275.00833971158335,7.5
2014-11-19,958,269.30265810145835,6.125
2014-11-20,1031,274.2434594860417,4.875
2014-11-21,1167,272.7159519887917,5.666666666666667
2014-11-22,775,271.9600061327083,3.5
2014-11-23,587,280.472470136,3.1666666666666665
2014-11-24,948,287.44973046879164,5.666666666666667
2014-11-25,957,287.69393694083334,4.75
2014-11-26,1663,277.848450102875,4.041666666666667
2014-11-27,808,275.12919049920833,2.7916666666666665
2014-11-28,839,273.06669872062497,4.083333333333333
2014-11-29,695,270.56543030666666,1.625
2014-11-30,605,278.4526536416667,2.6666666666666665
2014-12-01,889,282.887051533625,2.6666666666666665
2014-12-02,978,276.306767194625,5.208333333333333
2014-12-03,877,278.60930360625,3.5416666666666665
2014-12-04,854,277.16092903233334,4.375
2014-12-05,1087,274.9512204242083,3.8333333333333335
2014-12-06,926,278.5518206008333,1.7916666666666667
2014-12-07,657,277.1766798905,7.458333333333333
2014-12-08,814,270.81892379333334,6.25
2014-12-09,1252,275.98527562045837,7.125
2014-12-10,1589,276.72565605949995,5.458333333333333
2014-12-11,1181,273.7604166666667,6.416666666666667
2014-12-12,985,274.065,4.375
2014-12-13,869,275.9816666666666,5.375
2014-12-14,636,277.54321790679165,4.458333333333333
2014-12-15,1035,277.1909032980417,2.0833333333333335
2014-12-16,968,276.6508333333333,1.5833333333333333
2014-12-17,974,280.98890484279167,3.375
2014-12-18,920,277.38359418199997,6.5
2014-12-19,1030,275.4105718775417,5.125
2014-12-20,768,272.63086180808335,3.0833333333333335
2014-12-21,572,273.3980696798333,2.625
2014-12-22,886,275.58607852254164,2.875
2014-12-23,1088,280.293611179625,3.7083333333333335
2014-12-24,840,281.196107266,2.0
2014-12-25,323,284.6049094882083,5.583333333333333
2014-12-26,646,277.9602429905,2.7083333333333335
2014-12-27,578,277.46810696566666,1.5833333333333333
2014-12-28,462,278.5963778852083,1.9166666666666667
2014-12-29,653,276.74030793475,1.2083333333333333
2014-12-30,717,271.60857071712496,1.4583333333333333
2014-12-31,777,268.25919937225,2.0833333333333335
2015-01-01,518,268.98579790608335,3.1666666666666665
2015-01-02,669,274.04273160675,3.0833333333333335
2015-01-03,1549,270.72481434866665,1.7083333333333333
2015-01-04,618,278.20260220945835,2.375
2015-01-05,847,277.3934630940833,2.9583333333333335
2015-01-06,1081,266.86024551425004,1.8333333333333333
2015-01-07,1136,265.2189812202084,3.0
2015-01-08,1053,262.29356618575,2.4583333333333335
2015-01-09,1482,267.362663014875,3.625
2015-01-10,822,264.195725526625,2.625
2015-01-11,538,263.919110288625,1.5833333333333333
2015-01-12,1335,270.7908160732083,1.2083333333333333
2015-01-13,973,270.52579166666663,2.0416666666666665
2015-01-14,929,264.8702083333333,1.7083333333333333
2015-01-15,1020,266.6593564665416,1.375
2015-01-16,1134,269.032097851875,2.7916666666666665
2015-01-17,721,265.02691666666664,1.7916666666666667
2015-01-18,1771,269.96583333333336,1.25
2015-01-19,661,274.0238233773334,3.2083333333333335
2015-01-20,738,270.9278852287917,1.9583333333333333
2015-01-21,743,267.9446851055,1.2916666666666667
2015-01-22,727,270.48392904691667,1.0416666666666667
2015-01-23,958,269.12216090566665,1.4166666666666667
2015-01-24,848,272.10330874345834,1.875
2015-01-25,541,272.7383004150417,2.625
2015-01-26,997,267.871968207,2.5416666666666665
2015-01-27,663,269.21012870016665,4.083333333333333
2015-01-28,861,266.7009603695833,2.6666666666666665
2015-01-29,967,263.342044711625,1.2083333333333333
2015-01-30,1176,271.39545843241666,2.375
2015-01-31,791,266.14717373620834,4.833333333333333
2015-02-01,581,266.7994881422083,1.4583333333333333
2015-02-02,1139,272.469115420375,1.9166666666666667
